Index,Bank,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
501,UNITED BANK MORTGAGE CORP,504,0,0,0,0
502,UNITED BK,45465,0,1197,1900,3666
503,UNITED NATIONS FCU,546,0,250,0,250
504,UNITED SHORE FINANCIAL SERVICE,89647,0,6686,11245,15351
505,UNIVERSITY ISLAMIC FINANCIAL,191,0,0,0,0
506,"URBAN FINANCIAL GROUP, INC.",298,0,0,0,0
507,US MORTGAGE CORPORATION,1264,0,268,268,268
508,USAA FSB,27290,0,0,1209,2150
509,USALLIANCE FCU,20455,0,3282,3282,5418
510,VANGUARD FUNDING LLC,1027,0,0,0,0
511,VELOCITY COMMERCIAL CAPITAL,3954,0,0,0,350
512,VILLAGE BK,17895,0,0,0,805
513,VILLAGE MORTGAGE COMPANY,24601,0,1292,2513,2961
514,WAKEFIELD CO-OP BK,15953,0,1151,1151,1151
515,"WALKER & DUNLOP, LLC",73196,0,0,23668,23668
516,WALPOLE CO-OP BK,43806,0,450,450,2267
517,WASHINGTON SVG BK,1260,0,0,0,0
518,WASHINGTON TC,1917,0,0,37,532
519,WASHINGTON TC OF WESTERLY,5218,0,0,653,1153
520,WASHINGTON TR MTG CO LLC,211143,0,12290,22504,34761
521,"WATERMARK CAPITAL, INC.",2388,0,413,413,413
522,WATERSTONE BK,1366,0,0,0,0
523,WATERSTONE MORTGAGE CORP.,2310,0,606,973,973
524,WATERTOWN SVG BK,14010,0,0,323,1367
525,WEBSTER BK NA,172573,0,6769,11406,19620
526,WEBSTER FIRST FCU,5187,0,1115,1175,1735
527,WEBSTER FIVE CENTS SVG BK,33742,0,612,1469,3113
528,WEI MORTGAGE CORPORATION,417,0,0,0,0
529,WELLESLEY BK,115402,0,6276,10388,12658
530,WELLS FARGO BK NA,818276,161,38470,72640,103183
531,WESTSTAR MORTGAGE INC,504,0,0,0,0
532,WEYMOUTH BK,765,0,0,44,44
533,"WILLIAM RAVEIS MORTGAGE, LLC",49621,0,2181,2923,3836
534,WILMINGTON SVG FUND SCTY FSB,766,0,0,0,0
535,WINCHESTER CO-OP BK,17388,0,1232,1232,4259
536,WINCHESTER SVG BK,12472,0,3324,3495,5272
537,WINGS FNCL CU,304,0,0,0,0
538,WINTER HILL BK,28599,0,2746,3064,7372
539,WORKERS CU,3008,0,310,563,563
540,WRENTHAM CO-OP BK,127,0,0,0,0
