census_tract_number,Rank1,Rank2,Rank3
1003,"1 :  QUICKEN LOANS, INC. ($3035000)","2 :  NEEDHAM BK ($2426000)","3 :  PROSPECT MORTGAGE, LLC ($2233000)"
1004,"1 :  JPMORGAN CHASE BK ($5931000)","2 :  NEEDHAM BK ($4772000)","3 :  FAIRWAY INDP MORTGAGE CORP ($4401000)"
1005,"1 :  BOSTON PRIVATE B&TC ($9440000)","2 :  ROCKLAND TC ($7718000)","3 :  LOANDEPOT.COM ($5901000)"
1006.01,"1 :  GUARANTEED RATE INC. ($11581000)","2 :  LOANDEPOT.COM ($7428000)","3 :  FAIRWAY INDP MORTGAGE CORP ($5635000)"
1006.03,"1 :  GUARANTEED RATE INC. ($9649000)","2 :  UNION YES FCU ($5145000)","3 :  BANK OF CANTON ($4010000)"
1007,"1 :  BOSTON FRFTRS CU ($11382000)","2 :  MEETINGHOUSE BK ($8953000)","3 :  NEEDHAM BK ($8775000)"
1008,"1 :  MEETINGHOUSE BK ($12377000)","2 :  QUICKEN LOANS, INC. ($10850000)","3 :  GUARANTEED RATE INC. ($10701000)"
1009,"1 :  GUARANTEED RATE INC. ($16052000)","2 :  BOSTON PRIVATE B&TC ($14922000)","3 :  QUICKEN LOANS, INC. ($5837000)"
1010.01,"1 :  EAST CAMBRIDGE SVG BK ($4200000)","2 :  QUICKEN LOANS, INC. ($4063000)","3 :  JPMORGAN CHASE BK ($3632000)"
1010.02,"1 :  PILGRIM BK ($2530000)","2 :  GUARANTEED RATE INC. ($2164000)","3 :  WELLS FARGO BK ($1847000)"
1011.01,"1 :  STONEHAMBK ($10000000)","2 :  NEEDHAM BK ($3264000)","3 :  FIRST REPUBLIC BK ($2256000)"
1011.02,"1 :  ROCKLAND TC ($6136000)","2 :  NEEDHAM BK ($2856000)","3 :  EAST BOSTON SVG BK ($2211000)"
1101.03,"1 :  LOANDEPOT.COM ($12219000)","2 :  GUARANTEED RATE INC. ($10199000)","3 :  UNION YES FCU ($9350000)"
1102.01,"1 :  NEEDHAM BK ($2883000)","2 :  QUICKEN LOANS, INC. ($2518000)","3 :  UNION YES FCU ($2359000)"
1103.01,"1 :  UNION YES FCU ($6673000)","2 :  NEEDHAM BK ($5120000)","3 :  GUARANTEED RATE INC. ($4899000)"
1104.01,"1 :  GUARANTEED RATE INC. ($5996000)","2 :  RESIDENTIAL MORTGAGE SERVICES ($3950000)","3 :  BANK OF CANTON ($3479000)"
1104.03,"1 :  GUARANTEED RATE INC. ($12451000)","2 :  LOANDEPOT.COM ($8558000)","3 :  UNION YES FCU ($6998000)"
1105.01,"1 :  LOANDEPOT.COM ($7978000)","2 :  UNION YES FCU ($7286000)","3 :  GUARANTEED RATE INC. ($6698000)"
1105.02,"1 :  ROCKLAND TC ($19056000)","2 :  GUARANTEED RATE INC. ($10049000)","3 :  UNION YES FCU ($9837000)"
1106.01,"1 :  NEEDHAM BK ($7364000)","2 :  LOANDEPOT.COM ($5898000)","3 :  SANTANDER BK ($5059000)"
1106.07,"1 :  UNION YES FCU ($12752000)","2 :  LOANDEPOT.COM ($11848000)","3 :  GUARANTEED RATE INC. ($11465000)"
1201.03,"1 :  JPMORGAN CHASE BK ($8750000)","2 :  GUARANTEED RATE INC. ($5083000)","3 :  BANK OF AMER ($3749000)"
1201.04,"1 :  LOANDEPOT.COM ($6782000)","2 :  GUARANTEED RATE INC. ($6708000)","3 :  UNION YES FCU ($5041000)"
1201.05,"1 :  JPMORGAN CHASE BK ($10753000)","2 :  BANK OF AMER ($7842000)","3 :  UNION YES FCU ($7647000)"
1202.01,"1 :  UNION YES FCU ($14163000)","2 :  GUARANTEED RATE INC. ($9480000)","3 :  LOANDEPOT.COM ($8444000)"
1203.01,"1 :  GUARANTEED RATE INC. ($13659000)","2 :  LOANDEPOT.COM ($10069000)","3 :  FIRST REPUBLIC BK ($9390000)"
1204,"1 :  UNION YES FCU ($22172000)","2 :  WELLS FARGO BK ($14286000)","3 :  GUARANTEED RATE INC. ($12002000)"
1205,"1 :  UNION YES FCU ($9501000)","2 :  FIRST REPUBLIC BK ($9421000)","3 :  GUARANTEED RATE INC. ($5501000)"
1206,"1 :  LOANDEPOT.COM ($6929000)","2 :  UNION YES FCU ($6058000)","3 :  GUARANTEED RATE INC. ($5862000)"
1207,"1 :  BROOKLINE BK ($13970000)","2 :  UNION YES FCU ($5465000)","3 :  FIRST REPUBLIC BK ($3962000)"
1301,"1 :  GUARANTEED RATE INC. ($12802000)","2 :  LOANDEPOT.COM ($10057000)","3 :  RESIDENTIAL MORTGAGE SERVICES ($9912000)"
1302,"1 :  LOANDEPOT.COM ($12083000)","2 :  GUARANTEED RATE INC. ($10438000)","3 :  NEEDHAM BK ($9359000)"
1303,"1 :  GUARANTEED RATE INC. ($9265000)","2 :  SANTANDER BK ($7884000)","3 :  UNION YES FCU ($7665000)"
1304.02,"1 :  COOPERATIVE BK ($9313000)","2 :  UNION YES FCU ($8675000)","3 :  GUARANTEED RATE INC. ($7457000)"
1304.04,"1 :  DIGITAL FCU ($9849000)","2 :  GUARANTEED RATE INC. ($5987000)","3 :  COOPERATIVE BK ($4965000)"
1304.06,"1 :  LOANDEPOT.COM ($4041000)","2 :  GUARANTEED RATE INC. ($3434000)","3 :  QUICKEN LOANS, INC. ($2763000)"
1401.02,"1 :  NEEDHAM BK ($7439000)","2 :  GUARANTEED RATE INC. ($6266000)","3 :  QUICKEN LOANS, INC. ($4509000)"
1401.05,"1 :  RESIDENTIAL MORTGAGE SERVICES ($5631000)","2 :  QUICKEN LOANS, INC. ($4805000)","3 :  BLUE HILLS BK ($3262000)"
1401.06,"1 :  NEEDHAM BK ($2117000)","2 :  LOANDEPOT.COM ($1276000)","3 :  BLUE HILLS BK ($656000)"
1401.07,"1 :  GUARANTEED RATE INC. ($3976000)","2 :  QUICKEN LOANS, INC. ($3772000)","3 :  LOANDEPOT.COM ($2695000)"
1402.01,"1 :  GUARANTEED RATE INC. ($3049000)","2 :  QUICKEN LOANS, INC. ($2817000)","3 :  BLUE HILLS BK ($2276000)"
1402.02,"1 :  GUARANTEED RATE INC. ($9365000)","2 :  QUICKEN LOANS, INC. ($9305000)","3 :  BLUE HILLS BK ($6739000)"
1403,"1 :  DEDHAM INST FOR SVG ($7209000)","2 :  LOANDEPOT.COM ($6093000)","3 :  QUICKEN LOANS, INC. ($5851000)"
1404,"1 :  QUICKEN LOANS, INC. ($10599000)","2 :  LOANDEPOT.COM ($4462000)","3 :  BANK OF AMER ($4052000)"
1805,"1 :  MSA MORTGAGE LLC ($14421000)","2 :  QUICKEN LOANS, INC. ($6587000)","3 :  LOANDEPOT.COM ($5387000)"
9803,"1 :  MANSFIELD CO-OP BK ($341000)","2 :  MUTUAL BK ($300000)",NA
9807,"1 :  FEDERAL SVGS BK ($557000)","2 :  BERKSHIRE BK ($445000)",NA
9810,"1 :  GUARANTEED RATE INC. ($396000)","2 :  COMMERCE B&TC ($4000)",NA
9811,"1 :  GUARANTEED RATE INC. ($517000)","2 :  GMH MORTGAGE SERVICES LLC ($429000)","3 :  NORTHERN B&TC ($341000)"
9812.02,"1 :  HINGHAM INST FOR SVG ($1250000)","2 :  LOANDEPOT.COM ($1203000)","3 :  JPMORGAN CHASE BK ($545000)"
9813,"1 :  GUARANTEED RATE INC. ($8118000)","2 :  FAIRWAY INDP MORTGAGE CORP ($1861000)","3 :  BANK OF AMER ($1687000)"
9815.01,"1 :  BOSTON PRIVATE B&TC ($1350000)",NA,NA
9815.02,"1 :  JG WENTWORTH HOME LENDING LLC ($310000)",NA,NA
9817,"1 :  WATERTOWN SVG BK ($3720000)","2 :  FIRST REPUBLIC BK ($2340000)","3 :  BLUE HILLS BK ($1432000)"
9818,"1 :  WELLS FARGO BK ($383000)",NA,NA
